winter,year1,year2,closed,open,days
1855-56,1855,1856,1855-12-18,1856-04-14,118
1856-57,1856,1857,1856-12-06,1857-05-06,151
1857-58,1857,1858,1857-11-25,1858-03-26,121
1858-59,1858,1859,1858-12-08,1859-03-14,96
1859-60,1859,1860,1859-12-07,1860-03-26,110
1860-61,1860,1861,1860-12-14,1861-04-10,117
1861-62,1861,1862,1861-12-02,1862-04-13,132
1862-63,1862,1863,1862-12-26,1863-04-09,104
1863-64,1863,1864,1863-12-18,1864-04-21,125
1864-65,1864,1865,1864-12-08,1865-04-05,118
1865-66,1865,1866,1865-12-14,1866-04-18,125
1866-67,1866,1867,1866-12-18,1867-04-20,123
1867-68,1867,1868,1867-12-12,1868-03-31,110
1868-69,1868,1869,1868-12-10,1869-04-16,127
1869-70,1869,1870,1869-12-02,1870-04-12,131
1870-71,1870,1871,1870-12-24,1871-04-02,99
1871-72,1871,1872,1871-12-19,1872-04-23,126
1872-73,1872,1873,1872-11-30,1873-04-23,144
1873-74,1873,1874,1873-11-29,1874-04-14,136
1874-75,1874,1875,1874-12-10,1875-04-15,126
1875-76,1875,1876,1876-01-10,1876-04-10,91
1876-77,1876,1877,1876-12-08,1877-04-17,130
1877-78,1877,1878,1878-01-06,1878-03-09,62
1878-79,1878,1879,1878-12-21,1879-04-12,112
1879-80,1879,1880,1879-12-17,1880-03-25,99
1880-81,1880,1881,1880-11-23,1881-05-03,161
1881-82,1881,1882,1882-01-02,1882-03-21,78
1882-83,1882,1883,1882-12-10,1883-04-13,124
1883-84,1883,1884,1883-12-18,1884-04-15,119
1884-85,1884,1885,1884-12-17,1885-04-20,124
1885-86,1885,1886,1885-12-12,1886-04-19,128
1886-87,1886,1887,1886-12-05,1887-04-15,131
1887-88,1887,1888,1887-12-24,1888-04-15,113
1888-89,1888,1889,1889-01-02,1889-03-31,88
1889-90,1889,1890,1890-01-14,1890-03-30,75
1890-91,1890,1891,1890-12-26,1891-04-16,111
1891-92,1891,1892,1891-12-27,1892-04-02,97
1892-93,1892,1893,1892-12-16,1893-04-07,112
1893-94,1893,1894,1893-12-04,1894-03-15,101
1894-95,1894,1895,1894-12-28,1895-04-08,101
1895-96,1895,1896,1896-01-05,1896-04-05,91
1896-97,1896,1897,1896-12-21,1897-04-10,110
1897-98,1897,1898,1897-12-17,1898-03-27,100
1898-99,1898,1899,1898-12-09,1899-04-18,130
1899-00,1899,1900,1899-12-27,1900-04-17,111
1900-01,1900,1901,1900-12-25,1901-04-11,107
1901-02,1901,1902,1901-12-15,1902-03-30,105
1902-03,1902,1903,1902-12-25,1903-03-24,89
1903-04,1903,1904,1903-12-13,1904-04-17,126
1904-05,1904,1905,1904-12-14,1905-04-01,108
1905-06,1905,1906,1906-01-01,1906-04-08,97
1906-07,1906,1907,1906-12-20,1907-03-24,94
1907-08,1907,1908,1908-01-01,1908-03-24,83
1908-09,1908,1909,1908-12-22,1909-04-07,106
1909-10,1909,1910,1909-12-18,1910-03-26,98
1910-11,1910,1911,1910-12-09,1911-03-20,101
1911-12,1911,1912,1911-12-28,1912-04-14,108
1912-13,1912,1913,1912-12-24,1913-04-02,99
