Country,birth,ages_0_14,ages_15_24,ages_25_54,ages_55_64,ages_over_65,Total,Population
Afghanistan,1.05,1.03,1.03,1.03,0.97,0.85,1.03,38041754
Albania,1.08,1.11,1.09,0.93,0.95,0.87,0.98,2880917
Algeria,1.05,1.05,1.05,1.03,1.01,0.89,1.03,43053054
American Samoa,1.06,1.06,1.01,0.98,0.96,0.86,1,55312
Andorra,1.07,1.06,1.06,1.04,1.12,1.03,1.06,77142
Angola,1.03,0.99,0.95,0.91,0.89,0.72,0.95,31825295
Anguilla,1.03,1.04,1.02,0.81,0.79,0.98,0.9,14869
Antigua and Barbuda,1.05,1.03,0.99,0.85,0.8,0.75,0.89,97118
Argentina,1.07,1.06,1.05,1,0.94,0.73,0.98,44780677
Armenia,1.1,1.12,1.1,0.97,0.85,0.68,0.95,2957731
Aruba,1.02,1.01,1.01,0.93,0.88,0.65,0.9,106314
Australia,1.06,1.06,1.09,0.99,0.93,0.86,0.99,25203198
Austria,1.05,1.05,1.03,1,0.99,0.78,0.96,8955102
Azerbaijan,1.06,1.13,1.14,0.98,0.84,0.64,0.98,10047718
Bahamas,1.03,1.03,1.03,1,0.86,0.63,0.96,389482
Bahrain,1.03,1.03,1.31,1.87,1.67,1.04,1.53,1641172
Bangladesh,1.04,1.04,1,0.92,0.97,0.89,0.97,163046161
Barbados,1.01,1,0.98,0.99,0.91,0.7,0.94,287025
Belarus,1.06,1.06,1.06,0.98,0.79,0.48,0.87,9452411
Belgium,1.05,1.05,1.04,1.02,0.99,0.78,0.97,11539328
Belize,1.05,1.04,1.07,0.95,0.98,0.94,1,390353
Benin,1.05,1.02,0.99,0.9,0.92,0.84,0.97,11801151
Bermuda,1.02,1.02,1.01,1.01,0.9,0.74,0.94,62506
Bhutan,1.05,1.05,1.04,1.12,1.15,1.08,1.08,763092
Bolivia,1.05,1.04,1.03,0.97,0.85,0.78,0.98,11513100
Bosnia and Herzegovina,1.07,1.07,1.07,1.01,0.95,0.67,0.95,3301000
Botswana,1.03,1.02,0.97,0.9,0.76,0.71,0.93,2303697
Brazil,1.05,1.04,1.03,0.99,0.9,0.74,0.97,211049527
Brunei,1.05,1.06,1,0.9,0.98,0.95,0.96,433285
Bulgaria,1.06,1.06,1.08,1.06,0.9,0.67,0.95,7000119
Burkina Faso,1.03,1.03,1.01,0.87,0.76,0.76,0.96,20321378
Burundi,1.03,1.01,1,0.98,0.87,0.75,0.99,10864245
Cambodia,1.05,1.02,0.99,0.96,0.78,0.59,0.95,16486542
Cameroon,1.03,1.02,1.01,0.97,0.94,0.88,0.99,25876380
Canada,1.05,1.06,1.07,1.01,0.98,0.84,0.98,37411047
Cape Verde,1.03,1.01,1,0.95,0.84,0.6,0.95,549935
Cayman Islands,1.02,1.01,1,0.95,0.92,0.85,0.95,64948
Central African Republic,1.03,1.01,1.01,1,0.92,0.64,0.99,4745185
Chad,1.04,1.02,1.01,0.93,0.78,0.76,0.98,15946876
Chile,1.04,1.04,1.04,1,0.9,0.72,0.97,18952038
China,1.11,1.16,1.17,1.05,1.02,0.9,1.06,1433783686
Colombia,1.06,1.05,1.04,0.99,0.9,0.72,0.98,50339443
Comoros,1.03,1,0.94,0.9,0.83,0.81,0.94,850886
DR Congo,1.03,1.01,1.01,1,0.93,0.76,1,86790567
Republic of the Congo,1.03,1.02,1.01,1,1.06,0.81,1.01,5380508
Cook Islands,1.05,1.12,1.15,0.98,1.25,0.94,1.06,17548
Costa Rica,1.05,1.05,1.04,1.02,0.94,0.85,1,5047561
Croatia,1.06,1.06,1.05,1,0.94,0.69,0.93,4130304
Cuba,1.06,1.06,1.08,1.01,0.95,0.83,0.99,11333483
Curacao,1.05,1.05,1.06,1,0.77,0.68,0.92,163424
Cyprus,1.05,1.06,1.2,1.13,0.92,0.76,1.05,1179551
Czechia,1.05,1.06,1.07,1.06,0.96,0.72,0.97,10689209
Denmark,1.07,1.06,1.05,1.02,1,0.85,0.99,5771876
Djibouti,1.03,1.01,0.89,0.71,0.76,0.8,0.83,973560
Dominica,1.05,1.05,1.06,1.03,1.1,0.85,1.02,71808
Dominican Republic,1.04,1.03,1.03,1.04,1,0.89,1.02,10738958
Ecuador,1.05,1.04,1.04,0.96,0.94,0.89,0.99,17373662
Egypt,1.06,1.07,1.07,1.03,1,0.92,1.05,100388073
El Salvador,1.05,1.05,1.03,0.87,0.73,0.77,0.92,6453553
Equatorial Guinea,1.03,1.03,1.04,1.01,0.78,0.7,1,1355986
Eritrea,1.03,1.01,0.99,0.96,0.84,0.69,0.97,3497117
Estonia,1.05,1.05,1.08,1.04,0.84,0.53,0.88,1325648
Eswatini,1.03,1,0.9,0.87,0.74,0.6,0.9,1148130
Ethiopia,1.03,1.01,1,0.99,0.97,0.85,1,112078730
Falkland Islands,NA,NA,NA,NA,NA,NA,1.12,3377
Faroe Islands,1.07,1.07,1.07,1.16,1.07,0.94,1.08,48678
Fiji,1.05,1.05,1.04,1.05,1.02,0.85,1.03,889953
Finland,1.05,1.05,1.05,1.05,0.97,0.78,0.97,5532156
France,1.05,1.05,1.05,1.02,0.93,0.77,0.96,65129728
French Polynesia,1.05,1.06,1.09,1.05,1.05,0.93,1.05,279287
Gabon,1.03,1.04,1.09,1.15,1.04,1,1.08,2172579
Gambia,1.03,1.01,0.98,0.96,0.91,0.85,0.98,2347706
Palestine,1.06,1.05,1.02,0.95,1.08,1.13,1.02,4981420
Georgia,1.05,1.09,1.14,0.97,0.79,0.65,0.92,3996765
Germany,1.05,1.06,1.04,1.01,1,0.79,0.96,83517045
Ghana,1.03,1.01,0.99,0.94,0.95,0.85,0.97,28833629
Gibraltar,1.07,1.06,1.07,1.06,0.72,0.93,1.01,33701
Greece,1.07,1.07,1.11,0.98,0.9,0.8,0.95,10473455
Greenland,1.05,1.03,1.01,1.1,1.17,1.13,1.08,56672
Grenada,1.1,1.09,1.01,1.04,1.04,0.88,1.03,112003
Guam,1.07,1.07,1.16,1.07,1.05,0.87,1.06,167294
Guatemala,1.05,1.04,1.01,0.96,0.87,0.82,0.99,17581472
Guinea,1.03,1.02,1.01,1,0.94,0.81,1,12771246
Guinea-Bissau,1.03,1,0.96,0.9,0.96,0.74,0.95,1920922
Guyana,1.05,1.04,1.04,1.1,0.88,0.68,1.02,782766
Haiti,1.01,0.99,1,0.98,0.92,0.78,0.98,11263770
Honduras,1.03,1.02,1,0.9,0.83,0.8,0.95,9746117
Hong Kong,1.06,1.12,1.1,0.75,0.87,0.88,0.86,7436154
Hungary,1.06,1.06,1.07,1.02,0.87,0.62,0.91,9684679
Iceland,1.05,1.04,1.02,1.03,0.98,0.89,1,339031
India,1.11,1.13,1.14,1.07,1,0.89,1.08,1366417754
Indonesia,1.05,1.04,1.04,1.05,0.85,0.77,1,270625568
Iran,1.05,1.05,1.05,1.04,0.96,0.87,1.03,82913906
Iraq,1.05,1.04,1.03,1,0.96,0.8,1.01,39309783
Ireland,1.06,1.05,1.02,1.01,1,0.86,1,4882495
Isle of Man,1.08,1.09,1.15,1,1.01,0.9,1,84584
Israel,1.05,1.05,1.04,1.04,0.99,0.82,1.01,8519377
Italy,1.06,1.05,1.01,0.97,0.94,0.76,0.93,60550075
Ivory Coast,1.03,1.01,1,1.03,1.04,0.81,1.01,25716544
Jamaica,1.05,1.04,1.02,0.94,0.98,0.9,0.98,2948279
Japan,1.06,1.06,1.11,0.98,1,0.78,0.94,126860301
Jordan,1.06,1.06,1.11,1.18,1.11,0.96,1.11,10101694
Kazakhstan,0.94,0.96,1.04,0.97,0.78,0.54,0.91,18551427
Kenya,1.02,1.01,1,1,0.96,0.84,1,52573973
Kiribati,1.05,1.04,0.97,0.93,0.82,0.64,0.94,117606
